tic;date;year;month;cusip;prc;shrout;ret;retx;n
CAT;2009-09-30;2009;9;14912310;51.33;621294;0.132863;0.132863;120
CAT;2009-10-30;2009;10;14912310;55.06;623000;0.080849;0.072667;120
CAT;2009-11-30;2009;11;14912310;58.39;622728;0.060479;0.060479;120
CAT;2009-12-31;2009;12;14912310;56.99;622728;-0.023977;-0.023977;120
CAT;2010-01-29;2010;1;14912310;52.24;622728;-0.075978;-0.083348;120
CAT;2010-02-26;2010;2;14912310;57.05;624723;0.092075;0.092075;120
CAT;2010-03-31;2010;3;14912310;62.85;624723;0.101665;0.101665;120
CAT;2010-04-30;2010;4;14912310;68.09;628185;0.090056;0.083373;120
CAT;2010-05-28;2010;5;14912310;60.76;628185;-0.107652;-0.107652;120
CAT;2010-06-30;2010;6;14912310;60.07;628185;-0.011356;-0.011356;120
CAT;2010-07-30;2010;7;14912310;69.75;630472;0.168470;0.161145;120
CAT;2010-08-31;2010;8;14912310;65.16;630472;-0.065806;-0.065806;120
CAT;2010-09-30;2010;9;14912310;78.68;630472;0.207489;0.207489;120
CAT;2010-10-29;2010;10;14912310;78.6;630472;0.004575;-0.001017;120
CAT;2010-11-30;2010;11;14912310;84.6;634703;0.076336;0.076336;120
CAT;2010-12-31;2010;12;14912310;93.66;634703;0.107092;0.107092;120
CAT;2011-01-31;2011;1;14912310;97.01;634703;0.040465;0.035768;120
CAT;2011-02-28;2011;2;14912310;102.93;638823;0.061025;0.061025;120
CAT;2011-03-31;2011;3;14912310;111.35;638823;0.081803;0.081803;120
CAT;2011-04-29;2011;4;14912310;115.41;644693;0.040413;0.036462;120
CAT;2011-05-31;2011;5;14912310;105.8;644693;-0.083268;-0.083268;120
CAT;2011-06-30;2011;6;14912310;106.46;644693;0.006238;0.006238;120
CAT;2011-07-29;2011;7;14912310;98.79;644693;-0.067725;-0.072046;120
CAT;2011-08-31;2011;8;14912310;91;646066;-0.078854;-0.078854;120
CAT;2011-09-30;2011;9;14912310;73.84;646066;-0.188571;-0.188571;120
CAT;2011-10-31;2011;10;14912310;94.46;646066;0.285482;0.279252;120
CAT;2011-11-30;2011;11;14912310;97.88;646620;0.036206;0.036206;120
CAT;2011-12-30;2011;12;14912310;90.6;646620;-0.074377;-0.074377;120
CAT;2012-01-31;2012;1;14912310;109.12;646620;0.209492;0.204415;120
CAT;2012-02-29;2012;2;14912310;114.21;647533;0.046646;0.046646;120
CAT;2012-03-30;2012;3;14912310;106.52;647533;-0.067332;-0.067332;120
CAT;2012-04-30;2012;4;14912310;102.77;652500;-0.030886;-0.035205;120
CAT;2012-05-31;2012;5;14912310;87.62;652500;-0.147417;-0.147417;120
CAT;2012-06-29;2012;6;14912310;84.91;652500;-0.030929;-0.030929;120
CAT;2012-07-31;2012;7;14912310;84.21;652500;-0.002120;-0.008244;120
CAT;2012-08-31;2012;8;14912310;85.33;653269;0.013300;0.013300;120
CAT;2012-09-28;2012;9;14912310;86.04;653269;0.008321;0.008321;120
CAT;2012-10-31;2012;10;14912310;84.81;653269;-0.008252;-0.014296;120
CAT;2012-11-30;2012;11;14912310;85.24;653934;0.005070;0.005070;120
CAT;2012-12-31;2012;12;14912310;89.6085;653934;0.057350;0.051249;120
CAT;2013-01-31;2013;1;14912310;98.39;653934;0.097999;0.097999;120
CAT;2013-02-28;2013;2;14912310;92.37;655048;-0.061185;-0.061185;120
CAT;2013-03-28;2013;3;14912310;86.97;655048;-0.058461;-0.058461;120
CAT;2013-04-30;2013;4;14912310;84.67;657700;-0.020467;-0.026446;120
CAT;2013-05-31;2013;5;14912310;85.8;657700;0.013346;0.013346;120
CAT;2013-06-28;2013;6;14912310;82.49;657700;-0.038578;-0.038578;120
CAT;2013-07-31;2013;7;14912310;82.91;657700;0.012365;0.005092;120
CAT;2013-08-30;2013;8;14912310;82.54;647615;-0.004463;-0.004463;120
